game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source
2024-08-28,2024,A'ja Wilson,LVA,DAL,A,37.0,42.0,6.0,2.0,0.0,1.0,3.0,1.0,22.0,16.0,13.0,10.0,2.0,4.0,,a'ja wilson,0,last_good_canonical,401620396.0,3149391.0,C,1.0,1.0,espn
2024-08-31,2024,A'ja Wilson,LVA,ATL,A,37.0,26.0,16.0,5.0,0.0,0.0,5.0,0.0,17.0,9.0,10.0,8.0,2.0,14.0,,a'ja wilson,0,last_good_canonical,401620404.0,3149391.0,C,1.0,1.0,espn
2024-09-01,2024,A'ja Wilson,LVA,PHX,A,34.0,41.0,17.0,2.0,2.0,2.0,1.0,0.0,23.0,16.0,9.0,7.0,4.0,13.0,,a'ja wilson,0,last_good_canonical,401620411.0,3149391.0,C,1.0,1.0,espn
2024-09-04,2024,A'ja Wilson,LVA,CHI,A,35.0,30.0,14.0,3.0,1.0,2.0,3.0,2.0,19.0,10.0,10.0,9.0,2.0,12.0,,a'ja wilson,0,last_good_canonical,401620414.0,3149391.0,C,1.0,1.0,espn
2024-09-06,2024,A'ja Wilson,LVA,CON,A,37.0,20.0,8.0,0.0,0.0,2.0,2.0,2.0,15.0,8.0,6.0,4.0,0.0,8.0,,a'ja wilson,0,last_good_canonical,401620420.0,3149391.0,C,1.0,1.0,espn
2024-09-08,2024,A'ja Wilson,LVA,NYL,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,a'ja wilson,0,last_good_canonical,401620426.0,3149391.0,C,0.0,0.0,espn
2024-09-11,2024,A'ja Wilson,LVA,IND,A,34.0,27.0,12.0,2.0,0.0,2.0,3.0,0.0,28.0,11.0,7.0,5.0,3.0,9.0,,a'ja wilson,0,last_good_canonical,401620432.0,3149391.0,C,1.0,1.0,espn
2024-09-13,2024,A'ja Wilson,LVA,IND,A,36.0,15.0,17.0,1.0,0.0,1.0,2.0,1.0,15.0,6.0,4.0,3.0,0.0,17.0,,a'ja wilson,0,last_good_canonical,401620437.0,3149391.0,C,1.0,1.0,espn
2024-09-15,2024,A'ja Wilson,LVA,CON,A,35.0,29.0,9.0,3.0,0.0,0.0,2.0,0.0,25.0,13.0,5.0,3.0,1.0,8.0,,a'ja wilson,0,last_good_canonical,401620445.0,3149391.0,C,1.0,1.0,espn
2024-09-18,2024,A'ja Wilson,LVA,SEA,A,35.0,21.0,7.0,2.0,0.0,1.0,0.0,1.0,18.0,9.0,4.0,3.0,0.0,7.0,,a'ja wilson,0,last_good_canonical,401620451.0,3149391.0,C,1.0,1.0,espn
2024-09-23,2024,A'ja Wilson,LVA,SEA,A,36.0,21.0,8.0,2.0,1.0,0.0,5.0,1.0,21.0,9.0,2.0,2.0,2.0,6.0,,a'ja wilson,0,last_good_canonical,401721256.0,3149391.0,C,1.0,1.0,espn
2024-09-25,2024,A'ja Wilson,LVA,SEA,A,37.0,24.0,13.0,2.0,1.0,0.0,2.0,1.0,17.0,9.0,5.0,5.0,4.0,9.0,,a'ja wilson,0,last_good_canonical,401721262.0,3149391.0,C,1.0,1.0,espn
2024-09-29,2024,A'ja Wilson,LVA,NYL,A,38.0,21.0,6.0,5.0,0.0,0.0,2.0,2.0,16.0,9.0,4.0,3.0,0.0,6.0,,a'ja wilson,0,last_good_canonical,401724938.0,3149391.0,C,1.0,1.0,espn
2024-10-01,2024,A'ja Wilson,LVA,NYL,A,37.0,24.0,7.0,4.0,0.0,1.0,0.0,0.0,18.0,11.0,4.0,2.0,1.0,6.0,,a'ja wilson,0,last_good_canonical,401724939.0,3149391.0,C,1.0,1.0,espn
2024-10-05,2024,A'ja Wilson,LVA,NYL,A,33.0,19.0,14.0,3.0,1.0,0.0,1.0,3.0,14.0,8.0,2.0,2.0,0.0,14.0,,a'ja wilson,0,last_good_canonical,401724940.0,3149391.0,C,1.0,1.0,espn
2024-10-06,2024,A'ja Wilson,LVA,NYL,A,37.0,19.0,10.0,1.0,1.0,1.0,5.0,1.0,13.0,7.0,7.0,4.0,0.0,10.0,,a'ja wilson,0,last_good_canonical,401724941.0,3149391.0,C,1.0,1.0,espn
2025-05-02,2025,A'ja Wilson,LVA,DAL,A,22.0,19.0,7.0,3.0,1.0,0.0,2.0,2.0,17.0,7.0,5.0,4.0,3.0,4.0,,a'ja wilson,0,last_good_canonical,401761558.0,3149391.0,C,1.0,1.0,espn
2025-05-07,2025,A'ja Wilson,LVA,PHX,A,22.0,14.0,6.0,3.0,0.0,1.0,3.0,0.0,12.0,4.0,8.0,6.0,0.0,6.0,,a'ja wilson,0,last_good_canonical,401761355.0,3149391.0,C,1.0,1.0,espn
2025-05-17,2025,A'ja Wilson,LVA,NYL,A,36.0,31.0,16.0,3.0,1.0,2.0,1.0,4.0,22.0,11.0,8.0,8.0,2.0,14.0,,a'ja wilson,0,last_good_canonical,401736116.0,3149391.0,C,1.0,1.0,espn
2025-05-20,2025,A'ja Wilson,LVA,CON,A,29.0,22.0,10.0,4.0,0.0,3.0,2.0,2.0,16.0,6.0,12.0,10.0,3.0,7.0,,a'ja wilson,0,last_good_canonical,401736121.0,3149391.0,C,1.0,1.0,espn
