player_name,team,opponent,stat,line,over_odds,under_odds,sportsbook,fetched_at,source_mode,_data_source,_stat_label,_odds_type,player_key
DeWanna Bonner,PHX,,points,9.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,dewanna bonner
Valeriane Ayayi,PHX,,points,9.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,valeriane ayayi
Monique Akoa Makani,PHX,,points,9.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,monique akoa makani
Natasha Howard,MIN,,rebounds,8.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,natasha howard
Alyssa Thomas,PHX,,assists,8.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Assists,standard,alyssa thomas
Nia Coffey,MIN,,points,7.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,nia coffey
Nia Coffey,MIN,,ra,7.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,nia coffey
Alyssa Thomas,PHX,,rebounds,7.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,alyssa thomas
Olivia Miles,MIN,,assists,6.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Assists,standard,olivia miles
DeWanna Bonner,PHX,,rebounds,5.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,dewanna bonner
Courtney Williams,MIN,,rebounds,5.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,courtney williams
Courtney Williams,MIN,,assists,4.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Assists,standard,courtney williams
Kahleah Copper,PHX,,rebounds,3.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,kahleah copper
Kayla McBride,MIN,,threes_made,2.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,3PTM,standard,kayla mcbride
Bridget Carleton,POR,,rebounds,3.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,bridget carleton
Marina Mabrey,TOR,,pra,30.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,marina mabrey
Marina Mabrey,TOR,,pa,27.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,marina mabrey
Isabelle Harrison,TOR,,points,13.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,isabelle harrison
Georgia Amoore,WAS,,pra,12.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,georgia amoore
Shakira Austin,WAS,,ra,11.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,shakira austin
Maria Conde,TOR,,pa,11.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,maria conde
Kiki Iriafen,WAS,,rebounds,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,kiki iriafen
Nyara Sabally,TOR,,points,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,nyara sabally
Georgia Amoore,WAS,,pa,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,georgia amoore
Julie Allemand,TOR,,pr,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,julie allemand
Julie Allemand,TOR,,ra,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,julie allemand
Maria Conde,TOR,,points,9.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,maria conde
Shakira Austin,WAS,,rebounds,8.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebounds,standard,shakira austin
