player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Shay Whitcomb,Houston Astros,Cleveland Guardians,Parker Messick,6,4.1,2.18,0.0,0.0,7.0,High
Owen Caissie,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.04,2.15,0.0,0.0,7.0,High
Matt Wallner,Minnesota Twins,New York Mets,Nolan McLean,6,4.09,2.15,0.0,0.0,7.0,High
Randal Grichuk,New York Yankees,Boston Red Sox,Connelly Early,6,4.11,2.13,0.0,0.0,7.0,High
Vinnie Pasquantino,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.02,2.08,0.0,0.0,7.0,High
Patrick Bailey,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.01,2.07,0.0,0.0,7.0,High
Sam Huff,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.11,2.03,0.0,0.0,7.0,High
Rafael Marchán,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.09,2.0,0.0,0.0,7.0,High
Mitch Garver,Seattle Mariners,Athletics,Jacob Lopez,6,4.05,1.97,0.0,0.0,7.0,High
Will Brennan,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.03,1.97,0.0,0.0,6.0,High
Rafael Devers,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.01,1.95,0.0,0.0,6.0,High
Wenceel Pérez,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.03,1.94,0.0,0.0,7.0,High
Leo Rivas,Seattle Mariners,Athletics,Jacob Lopez,6,4.04,1.94,0.0,0.0,6.1,High
Juan Brito,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.04,1.93,0.0,0.0,7.0,High
Ryan McMahon,New York Yankees,Boston Red Sox,Connelly Early,6,4.12,1.92,0.0,0.0,7.0,High
Tyler Stephenson,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.1,1.85,0.0,0.0,6.0,High
Kyle Manzardo,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.03,1.85,0.0,0.0,5.0,High
Spencer Torkelson,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.06,1.76,0.0,0.0,5.0,High
Rob Refsnyder,Seattle Mariners,Athletics,Jacob Lopez,6,4.04,1.73,0.0,0.0,5.0,High
Tommy Pham,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.05,1.71,0.0,0.0,5.0,High
