slate_date,game_date,player_name,player_id,player_key,team,opponent,stat,projected_value,actual_value,error,absolute_error,squared_error,source_file,created_at_utc
2026-05-08,2026-05-08,Brittney Sykes,brittney sykes,brittney sykes,TOR,WAS,steals,1.21,3.0,-1.79,1.79,3.2041,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Sykes,brittney sykes,brittney sykes,TOR,WAS,blocks,0.46,0.0,0.46,0.46,0.2116,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Dominique Malonga,dominique malonga,dominique malonga,SEA,GSV,points,11.18,21.0,-9.82,9.82,96.4324,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Dominique Malonga,dominique malonga,dominique malonga,SEA,GSV,rebounds,5.36,8.0,-2.6399999999999997,2.6399999999999997,6.969599999999998,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Dominique Malonga,dominique malonga,dominique malonga,SEA,GSV,assists,1.22,0.0,1.22,1.22,1.4884,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Dominique Malonga,dominique malonga,dominique malonga,SEA,GSV,threes_made,0.67,0.0,0.67,0.67,0.4489000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Dominique Malonga,dominique malonga,dominique malonga,SEA,GSV,steals,0.93,0.0,0.93,0.93,0.8649000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Dominique Malonga,dominique malonga,dominique malonga,SEA,GSV,blocks,1.17,2.0,-0.8300000000000001,0.8300000000000001,0.6889000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Flau'jae Johnson,flau'jae johnson,flau'jae johnson,SEA,GSV,points,17.23,12.0,5.23,5.23,27.352900000000005,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Flau'jae Johnson,flau'jae johnson,flau'jae johnson,SEA,GSV,rebounds,6.33,2.0,4.33,4.33,18.7489,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Flau'jae Johnson,flau'jae johnson,flau'jae johnson,SEA,GSV,assists,2.09,2.0,0.08999999999999986,0.08999999999999986,0.008099999999999975,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Flau'jae Johnson,flau'jae johnson,flau'jae johnson,SEA,GSV,threes_made,1.83,3.0,-1.17,1.17,1.3688999999999998,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Flau'jae Johnson,flau'jae johnson,flau'jae johnson,SEA,GSV,steals,1.71,1.0,0.71,0.71,0.5041,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Flau'jae Johnson,flau'jae johnson,flau'jae johnson,SEA,GSV,blocks,0.82,0.0,0.82,0.82,0.6723999999999999,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Gabby Williams,gabby williams,gabby williams,GSV,SEA,points,9.23,7.0,2.2300000000000004,2.2300000000000004,4.972900000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Gabby Williams,gabby williams,gabby williams,GSV,SEA,rebounds,3.3,6.0,-2.7,2.7,7.290000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Gabby Williams,gabby williams,gabby williams,GSV,SEA,assists,2.88,4.0,-1.12,1.12,1.2544000000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Gabby Williams,gabby williams,gabby williams,GSV,SEA,threes_made,1.1,1.0,0.10000000000000009,0.10000000000000009,0.010000000000000018,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Gabby Williams,gabby williams,gabby williams,GSV,SEA,steals,1.53,1.0,0.53,0.53,0.28090000000000004,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Gabby Williams,gabby williams,gabby williams,GSV,SEA,blocks,0.81,0.0,0.81,0.81,0.6561000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Georgia Amoore,georgia amoore,georgia amoore,WAS,TOR,points,21.25,6.0,15.25,15.25,232.5625,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Georgia Amoore,georgia amoore,georgia amoore,WAS,TOR,rebounds,2.8,3.0,-0.20000000000000018,0.20000000000000018,0.04000000000000007,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Georgia Amoore,georgia amoore,georgia amoore,WAS,TOR,assists,5.8,3.0,2.8,2.8,7.839999999999999,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Georgia Amoore,georgia amoore,georgia amoore,WAS,TOR,threes_made,2.63,2.0,0.6299999999999999,0.6299999999999999,0.39689999999999986,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
