GAME_DATE,PLAYER_KEY,PLAYER,TEAM,OPPONENT,MATCHUP,STAT,STAT_LABEL,PROJECTION,MEDIAN,FLOOR,CEILING,STDDEV,MIN,CONFIDENCE,ACTIVE_PROB,INJURY_STATUS,SIM_RUNS,CONFIDENCE_RANK
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,PTS,Points,8.74,8.27,2.61,15.29,4.93,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,PTS,Points,3.63,1.01,0.01,10.18,6.89,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,PTS,Points,3.6,2.03,0.21,8.9,4.51,8.93,Medium,,UNKNOWN,10000,2
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,PTS,Points,3.25,2.42,0.52,7.08,2.95,19.65,Low,,UNKNOWN,10000,1
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,PTS,Points,2.83,1.4,0.1,7.2,4.0,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,PTS,Points,2.13,0.38,0.0,6.35,4.47,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,PTS,Points,0.93,0.18,0.0,2.68,1.92,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,RA,Reb+Ast,15.98,15.49,9.92,22.8,5.06,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,RA,Reb+Ast,10.65,10.38,6.59,14.99,3.32,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,RA,Reb+Ast,6.52,6.2,3.25,10.28,2.76,27.65,Low,,UNKNOWN,10000,1
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,RA,Reb+Ast,5.48,5.1,1.5,9.94,3.28,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,RA,Reb+Ast,5.27,5.0,2.5,8.4,2.34,29.13,Low,,UNKNOWN,10000,1
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,RA,Reb+Ast,2.95,1.3,0.04,7.92,4.3,19.65,Low,,UNKNOWN,10000,1
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,RA,Reb+Ast,2.92,1.75,0.17,7.02,3.56,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,RA,Reb+Ast,1.71,1.02,0.05,4.26,2.18,8.93,Medium,,UNKNOWN,10000,2
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,RA,Reb+Ast,1.46,0.86,0.17,3.42,1.8,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,RA,Reb+Ast,1.18,0.85,0.21,2.61,1.08,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,RA,Reb+Ast,0.84,0.23,0.0,2.21,1.24,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,REB,Rebounds,11.2,10.73,6.64,16.32,3.85,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,REB,Rebounds,4.98,4.7,2.59,7.72,2.09,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,REB,Rebounds,4.1,3.88,1.22,7.21,2.31,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,REB,Rebounds,3.5,3.24,1.67,5.68,1.63,27.65,Low,,UNKNOWN,10000,1
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,REB,Rebounds,2.93,2.62,1.17,5.09,1.63,29.13,Low,,UNKNOWN,10000,1
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,REB,Rebounds,2.34,0.94,0.03,6.45,3.66,19.65,Low,,UNKNOWN,10000,1
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,REB,Rebounds,1.89,1.09,0.13,4.65,2.34,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,REB,Rebounds,1.38,0.66,0.04,3.59,1.97,8.93,Medium,,UNKNOWN,10000,2
