bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,actual_value,bet_result,confidence_score,line_delta,bet_quality_score,date,player,matchup,raw_stat,bet,projection,abs_edge,stddev,model_confidence,bet_confidence,confidence_label,result,actual,empty_state_reason,candidate_count,qualified_count,won_flag,lost_flag,result_binary,baseline_confidence_bucket,minutes_bucket,line_bucket,starter_proxy,confidence_label_norm,minutes_abs_error,player_stat_support,shadow_hit_rate
2026-05-29,Alyssa Thomas,PHX,NYL,pra,33.5,under,prizepicks,,0.9926,0.4926,21.97421575771101,21.738150088462447,16.599319886242174,27.69893210691043,30.01645850496508,low,26.0,win,1.0,-11.525784242288989,76.00127799743795,2026-05-29,Alyssa Thomas,PHX vs NYL,pra,UNDER PRA,21.97421575771101,11.525784242288989,4.339917900145856,LOW,49.260000000000005,Low,,,,,,1,0,1.0,90+,30-35,30-36,starter_proxy,low,5.98,17,0.62
2026-05-29,Cameron Brink,LAS,WAS,points,10.0,under,prizepicks,,0.9883,0.4882999999999999,2.8911424917280115,2.454796280213196,0.5079232497056527,5.726454701733661,12.818601808161564,medium,16.0,loss,2.0,-7.1088575082719885,72.53091556251684,2026-05-29,Cameron Brink,LAS vs WAS,points,UNDER PTS,2.8911424917280115,7.1088575082719885,2.221381359373197,MEDIUM,48.83,Medium,,,,,,0,1,0.0,90+,10-18,8-12,bench_proxy,medium,4.18,5,0.64
2026-05-29,Natasha Howard,MIN,CHI,pr,23.5,under,prizepicks,,0.9697,0.4697,14.787437652293574,14.466659837461734,9.657770824615469,20.43794713799588,23.895906298699305,low,21.0,win,1.0,-8.712562347706426,70.14193953666741,2026-05-29,Natasha Howard,MIN vs CHI,pr,UNDER PR,14.787437652293574,8.712562347706426,4.256457504494319,LOW,46.97,Low,,,,,,1,0,1.0,90+,18-24,22-28,bench_proxy,low,5.100000000000001,11,0.62
2026-05-29,Olivia Miles,MIN,CHI,assists,5.5,under,prizepicks,,0.8768,0.3768,4.015761463110603,3.914302376849818,2.454763265007631,5.683679824383577,32.40704531804272,medium,6.0,loss,2.0,-1.484238536889397,53.556449896430685,2026-05-29,Olivia Miles,MIN vs CHI,assists,UNDER AST,4.015761463110603,1.484238536889397,1.2803846390490934,MEDIUM,37.68,Medium,,,,,,0,1,0.0,80-90,30-35,4-6,starter_proxy,medium,0.4099999999999966,6,0.64
2026-05-29,Jonquel Jones,NYL,PHX,rebounds,8.0,under,prizepicks,,0.8519,0.3519,5.770523547830461,5.549617877722813,3.146265131725868,8.672573329366944,23.59337050387824,medium,9.0,loss,2.0,-2.229476452169539,50.92477756728589,2026-05-29,Jonquel Jones,NYL vs PHX,rebounds,UNDER REB,5.770523547830461,2.229476452169539,2.182454665001316,MEDIUM,35.19,Medium,,,,,,0,1,0.0,80-90,18-24,7-9,bench_proxy,medium,7.41,4,0.64
2026-05-29,Alyssa Thomas,PHX,NYL,pra,33.0,under,prizepicks,,0.9905,0.4905,21.97421575771101,21.738150088462447,16.599319886242174,27.69893210691043,30.01645850496508,low,26.0,win,1.0,-11.025784242288989,75.23877799743795,2026-05-29,Alyssa Thomas,PHX vs NYL,pra,UNDER PRA,21.97421575771101,11.025784242288989,4.339917900145856,LOW,49.05,Low,,,,,,1,0,1.0,90+,30-35,30-36,starter_proxy,low,5.98,17,0.62
2026-05-29,Cameron Brink,LAS,WAS,pra,16.0,under,prizepicks,,0.9908,0.4908,7.06955276051962,6.6768740553074615,3.707859981799305,10.888271544481997,12.818601808161564,medium,19.0,loss,2.0,-8.93044723948038,74.66500529372522,2026-05-29,Cameron Brink,LAS vs WAS,pra,UNDER PRA,7.06955276051962,8.93044723948038,2.932779927160655,MEDIUM,49.08,Medium,,,,,,0,1,0.0,90+,10-18,12-18,bench_proxy,medium,4.18,3,0.64
2026-05-29,Carla Leite,POR,ATL,pa,20.5,under,prizepicks,,0.9764,0.4764,7.846117214728147,6.799065506857904,2.5208494789867464,14.406613086801922,14.01375024666758,low,15.0,win,1.0,-12.653882785271854,74.62429529267189,2026-05-29,Carla Leite,POR vs ATL,pa,UNDER PA,7.846117214728147,12.653882785271854,5.001575144077888,LOW,47.64000000000001,Low,,,,,,1,0,1.0,90+,10-18,16-22,bench_proxy,low,9.99,10,0.62
2026-05-29,Alyssa Thomas,PHX,NYL,pa,25.5,under,prizepicks,,0.9935,0.4935,15.517671003925486,15.313482124157424,10.99017550156934,20.356353123981435,30.01645850496508,low,23.0,win,1.0,-9.982328996074514,74.57032275122349,2026-05-29,Alyssa Thomas,PHX vs NYL,pa,UNDER PA,15.517671003925486,9.982328996074514,3.67433847963635,LOW,49.35000000000001,Low,,,,,,1,0,1.0,90+,30-35,22-28,starter_proxy,low,5.98,7,0.62
2026-05-29,Carla Leite,POR,ATL,pra,21.5,under,prizepicks,,0.9736,0.4736,8.909006568114798,7.893433970367994,3.445159432950721,15.640780097254522,14.01375024666758,low,16.0,win,1.0,-12.590993431885202,74.21140593928524,2026-05-29,Carla Leite,POR vs ATL,pra,UNDER PRA,8.909006568114798,12.590993431885202,5.125551071422897,LOW,47.36,Low,,,,,,1,0,1.0,90+,10-18,18-24,bench_proxy,low,9.99,10,0.62
2026-05-29,Cameron Brink,LAS,WAS,pr,14.5,under,prizepicks,,0.9858,0.4858,6.5348574020422125,6.150478574867276,3.2717994101239465,10.29272218541977,12.818601808161564,medium,18.0,loss,2.0,-7.9651425979577875,73.07470065220264,2026-05-29,Cameron Brink,LAS vs WAS,pr,UNDER PR,6.5348574020422125,7.9651425979577875,2.8621322912658185,MEDIUM,48.58,Medium,,,,,,0,1,0.0,90+,10-18,12-16,bench_proxy,medium,4.18,4,0.64
2026-05-29,Natasha Howard,MIN,CHI,pra,27.0,under,prizepicks,,0.9792,0.4791999999999999,16.894410761213567,16.555261469413185,11.490432695109527,22.776262122653247,23.895906298699305,low,24.0,win,1.0,-10.105589238786433,72.7224664277474,2026-05-29,Natasha Howard,MIN vs CHI,pra,UNDER PRA,16.894410761213567,10.105589238786433,4.4361093167111525,LOW,47.92,Low,,,,,,1,0,1.0,90+,18-24,24-30,bench_proxy,low,5.100000000000001,8,0.62
2026-05-29,Kahleah Copper,PHX,NYL,pra,24.5,under,prizepicks,,0.9676,0.4676,13.563538295621017,13.018947693109762,7.377746671714806,20.33417563333256,25.739366837263788,low,20.0,win,1.0,-10.936461704378983,72.1586427094969,2026-05-29,Kahleah Copper,PHX vs NYL,pra,UNDER PRA,13.563538295621017,10.936461704378983,5.194452472053792,LOW,46.760000000000005,Low,,,,,,1,0,1.0,90+,24-30,24-30,starter_proxy,low,11.260000000000002,10,0.62
2026-05-29,Megan Gustafson,POR,ATL,points,8.5,under,prizepicks,,0.9893,0.4892999999999999,2.2646997456209723,1.8077214354668203,0.2832854364697157,4.823099774971036,11.996834934211588,medium,10.0,loss,2.0,-6.235300254379028,71.75770530240537,2026-05-29,Megan Gustafson,POR vs ATL,points,UNDER PTS,2.2646997456209723,6.235300254379028,1.917754205898567,MEDIUM,48.92999999999999,Medium,,,,,,0,1,0.0,90+,10-18,8-12,bench_proxy,medium,6.0,2,0.64
