TEAM_ABBREVIATION,PLAYER_ID,SECONDS_PLAYED,GAMES_IN_SAMPLE,AVG_MINUTES_TOTAL,Q1_MINUTES,Q2_MINUTES,Q3_MINUTES,Q4_MINUTES,Q1_SHARE,Q2_SHARE,Q3_SHARE,Q4_SHARE
DAL,202691,1367.0,6,22.783333333333335,6.219444444444445,5.694444444444445,7.513333333333334,5.53,0.24920419384279768,0.22816819891814882,0.301048460699419,0.22157914653963448
DAL,203939,1222.0,9,20.366666666666667,8.153333333333332,6.647619047619047,5.633333333333334,5.033333333333333,0.32014509554616505,0.26102240005983324,0.2211959163830822,0.19763658801091957
DAL,1642358,1141.875,8,19.03125,5.5233333333333325,7.0633333333333335,5.0,8.039583333333333,0.21553420158366257,0.27562883111392944,0.19511243353982732,0.3137245337625807
DAL,203114,1127.875,8,18.797916666666666,8.976666666666667,7.011904761904762,5.733333333333333,8.141666666666667,0.30058918733606,0.23479793027019696,0.19198418203417125,0.2726287003595717
DAL,1642843,1118.625,16,18.64375,11.740625,3.902083333333333,7.8375,5.511111111111111,0.4049703575064375,0.13459488592131266,0.2703395412898976,0.19009521528235224
DAL,1630230,1113.3333333333333,12,18.555555555555554,11.1,9.18888888888889,6.920833333333333,5.916666666666667,0.3350802901345855,0.2773887887300323,0.20892205777535533,0.17860886336002685
DAL,1631108,1059.235294117647,17,17.65392156862745,11.204166666666667,4.901851851851851,7.004761904761905,4.616666666666666,0.40408215838698214,0.1767869878517981,0.25262916856494744,0.16650168519627226
DAL,1642948,957.0833333333334,12,15.95138888888889,10.189583333333333,4.706666666666666,4.9071428571428575,8.669444444444444,0.35787031778407574,0.16530374605147902,0.17234470892963288,0.30448122723481236
DAL,1629655,945.6,5,15.76,7.36,5.045833333333333,4.25,6.658333333333333,0.3156878864781785,0.21642777996211174,0.18229259749079602,0.28559173606891375
DAL,1629023,909.5555555555555,9,15.15925925925926,10.979629629629631,7.05,2.425,9.333333333333334,0.368592832053713,0.23667277983276863,0.08140872214105871,0.31332566597245964
DEN,203999,2658.8571428571427,14,44.31428571428571,12.857142857142858,13.0,13.090909090909092,12.763636363636364,0.24863127228891457,0.2513938419810136,0.25315184087598575,0.2468230448540861
DEN,203501,1705.6,10,28.426666666666666,9.488333333333333,7.405,9.55,8.080555555555556,0.27483385095666446,0.21448916209388025,0.2766200537470029,0.2340569332024524
DEN,nan,1680.0,3,28.0,0.0,12.0,12.0,12.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
DEN,1631223,1506.3333333333333,3,25.105555555555554,7.741666666666666,8.516666666666667,8.575,8.55,0.23190214677983023,0.2551173240139791,0.2568647029455816,0.25611582626060914
DEN,1631128,1479.5,14,24.658333333333335,11.729487179487178,8.577083333333333,10.079166666666667,8.696666666666665,0.3001219481191532,0.21946150925354135,0.25789525911310013,0.22252128351420525
DEN,1628971,1447.0,9,24.116666666666667,8.264583333333333,8.254166666666666,6.06875,7.27,0.27680091545954394,0.2764520360601747,0.20325713807251108,0.24348991040777024
DEN,203932,1307.4444444444443,9,21.790740740740738,11.864583333333334,6.66,7.14,8.05,0.3519125007724155,0.19754062905518135,0.21177779150960882,0.2387690786627943
DEN,1629661,1227.076923076923,13,20.451282051282053,10.562820512820512,8.133333333333333,6.516666666666667,8.13,0.31679445081015406,0.2439305736059737,0.19544437352445845,0.2438306020594139
DEN,1627750,1199.923076923077,13,19.99871794871795,11.841025641025642,8.479166666666666,7.723333333333333,8.379166666666666,0.325100229851072,0.23279900878925153,0.21204729370602293,0.2300534676536535
DEN,1642461,1164.6666666666667,3,19.41111111111111,8.991666666666667,12.0,8.125,12.0,0.21868666396432915,0.2918524523713012,0.19760843129306851,0.2918524523713012
DEN,1642938,1096.5,4,18.275,7.033333333333333,8.516666666666667,6.416666666666667,7.291666666666667,0.2403873540301908,0.291085160922814,0.2193107376815722,0.24921674736542293
DEN,1631124,1038.3333333333333,9,17.305555555555554,6.525,5.261111111111111,5.483333333333333,7.447619047619047,0.26398766997928946,0.2128534044022027,0.2218440445036685,0.30131488111483934
DEN,1629618,947.4,5,15.79,12.0,4.9,5.808333333333334,6.706666666666666,0.407955124936257,0.1665816760156383,0.19746161255595218,0.22800158649215252
DEN,1631212,808.0,3,13.466666666666667,4.5,4.883333333333334,5.2,5.775,0.22103970528039296,0.239869013507982,0.25542365943512074,0.2836676217765043
DEN,1630192,629.25,4,10.4875,3.4833333333333334,3.0083333333333333,4.133333333333334,8.061111111111112,0.18641296268767654,0.1609930132302661,0.2211981566820277,0.4313958674000298
DEN,1641747,558.8,5,9.313333333333333,1.6,12.0,12.0,4.193333333333333,0.05370328932647124,0.4027746699485343,0.4027746699485343,0.14074737077646005
DEN,202685,511.0,1,8.516666666666667,8.516666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DEN,1626145,487.0,4,8.116666666666667,0.0,7.1,5.444444444444445,1.9333333333333333,0.0,0.49040675364543357,0.37605525709900234,0.1335379892555641
DEN,1642354,231.0,3,3.85,0.0,4.516666666666667,0.0,2.344444444444444,0.0,0.6582995951417004,0.0,0.34170040485829956
DET,1642450,1808.3846153846155,13,30.139743589743592,10.566666666666666,6.701515151515151,8.662121212121212,8.545,0.3064996022624892,0.19438596799641375,0.2512558397095857,0.24785859003151134
DET,1627747,1641.5454545454545,11,27.35909090909091,8.16060606060606,7.290909090909091,6.105555555555555,8.448148148148148,0.27197288911581036,0.24298803238493863,0.20348312022038811,0.2815559582788628
DET,nan,1542.857142857143,7,25.714285714285715,0.0,12.0,12.0,12.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
DET,1628989,1458.0,12,24.3,8.658333333333333,6.702777777777778,6.724074074074074,5.84375,0.3100130125235179,0.23999403247329118,0.24075654977497452,0.20923640522821646
DET,1641709,1412.142857142857,14,23.535714285714285,10.189743589743589,8.242424242424242,6.0633333333333335,5.0814814814814815,0.34451599445973624,0.27867698138116564,0.20500175442851998,0.1718052697305781
DET,1630595,1381.857142857143,7,23.03095238095238,10.628571428571428,10.05,7.058333333333334,9.191666666666666,0.2878143133462282,0.27214700193423597,0.19113475177304964,0.2489039329464861
DET,1629750,1355.888888888889,9,22.598148148148148,12.353333333333333,8.423333333333334,8.666666666666666,5.9375,0.3491532609463693,0.2380761711849636,0.24495371787926606,0.16781684998940102
DET,202699,1318.6923076923076,13,21.978205128205126,10.666666666666666,6.677083333333333,8.422916666666667,5.25,0.34390112842557763,0.21527404621171414,0.27156098871574424,0.169263836646964
DET,1629130,1270.4666666666667,15,21.174444444444443,10.55,8.085416666666667,6.841666666666667,5.707142857142857,0.33831206634917305,0.25927905400891404,0.2193951077983184,0.18301377184359463
DET,1631105,1270.142857142857,14,21.169047619047618,10.875,6.647916666666666,8.541666666666666,6.613888888888889,0.33278789553095184,0.20343413307265656,0.26138512867373614,0.20239284272265554
DET,1631204,1251.3846153846155,13,20.856410256410257,7.029629629629629,9.647619047619049,8.829166666666667,6.97,0.21645337255322034,0.2970653917759612,0.27186395336949853,0.21461728230132002
DET,1630194,1223.909090909091,11,20.39848484848485,6.56875,5.839583333333334,5.677272727272727,6.266666666666667,0.2697386840877275,0.2397962358065018,0.23313112459169388,0.25733395551407684
DET,1641842,1139.0833333333333,12,18.98472222222222,5.029166666666667,5.543333333333334,4.133333333333334,7.069999999999999,0.2309517431403314,0.2545635452144962,0.18981286594466343,0.32467184570050894
DET,1630191,1094.25,4,18.2375,6.445833333333334,8.25,5.858333333333333,2.45,0.2802028618003985,0.35863068284731026,0.25466401014309004,0.10650244520920124
DET,1642449,816.1666666666666,6,13.602777777777778,5.266666666666667,11.175,8.533333333333333,5.277777777777778,0.1740886970893398,0.36938756771646314,0.2820677623726012,0.1744559728215958
DET,1642404,487.875,8,8.13125,3.6,11.683333333333334,4.116666666666666,5.419047619047619,0.14504988488104376,0.4707405986185726,0.1658672294704528,0.21834228702993097
DET,1642403,362.5,2,6.041666666666667,0.0,0.0,0.0,6.041666666666667,0.0,0.0,0.0,1.0
DET,1631111,305.0,1,5.083333333333333,0.0,0.0,0.0,5.083333333333333,0.0,0.0,0.0,1.0
DET,1641752,152.0,1,2.533333333333333,0.0,0.0,0.0,2.533333333333333,0.0,0.0,0.0,1.0
GSW,nan,2070.0,8,34.5,0.0,12.0,12.0,12.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
GSW,1631466,1951.0,4,32.516666666666666,11.716666666666667,12.35,5.691666666666666,8.775,0.3040657439446367,0.3205017301038062,0.1477076124567474,0.22772491349480972
GSW,1630311,1934.6666666666667,9,32.24444444444445,9.408333333333333,7.768518518518518,8.491666666666667,9.635416666666666,0.26649531515346236,0.2200468156812862,0.2405303154485192,0.27292755371673233
GSW,1629646,1652.2,5,27.53666666666667,6.526666666666667,7.829166666666667,6.916666666666667,7.83,0.22426481115597174,0.2690204163445294,0.2376657217306646,0.2690490507688343
GSW,203552,1649.0,3,27.483333333333334,4.061111111111111,10.591666666666667,9.094444444444443,10.9,0.11721318046981481,0.30570031267537884,0.2624869718592159,0.3145995349955905
GSW,1642502,1362.0,7,22.7,10.4375,7.766666666666667,6.0233333333333325,8.086666666666666,0.3230007478660031,0.24034866028831525,0.18639915413776206,0.25025143770791963
GSW,1643018,1265.2,5,21.086666666666666,4.6625,8.122222222222222,7.8933333333333335,4.59,0.1845215192656516,0.3214423129775188,0.3123838839113945,0.18165228384543505
GSW,1641764,1244.4666666666667,15,20.741111111111113,9.678888888888888,8.764285714285714,7.147619047619047,7.792857142857143,0.28992901192010156,0.262532272712144,0.21410537426836632,0.23343334109938807
GSW,203110,1213.4166666666667,12,20.22361111111111,11.281481481481482,5.802083333333333,7.678571428571429,8.196666666666667,0.34229038937699,0.17604047541312898,0.2329748276819045,0.24869430752797655
GSW,1642954,1197.0,9,19.95,9.595833333333333,5.793333333333334,6.3566666666666665,8.406666666666666,0.318243373960147,0.19213442776994724,0.21081723461293977,0.27880496365696594
GSW,1630209,1195.3333333333333,3,19.92222222222222,13.633333333333333,7.65,4.966666666666667,7.458333333333333,0.4044499381953028,0.22694684796044498,0.1473423980222497,0.22126081582200244
GSW,1627780,1161.4444444444443,9,19.357407407407404,7.1685185185185185,5.007142857142857,6.472916666666666,3.2666666666666666,0.3271019152971782,0.2284776156338226,0.29536136842724725,0.14905910064175207
GSW,1630611,1115.1666666666667,12,18.586111111111112,10.633333333333333,4.419444444444445,5.8694444444444445,6.739999999999999,0.3843991002570694,0.15976462082262216,0.21218267994858614,0.24365359897172237
GSW,201939,1072.3333333333333,3,17.87222222222222,10.116666666666667,12.0,11.266666666666667,0.0,0.30304543185222166,0.3594608087868198,0.3374937593609586,0.0
GSW,1629001,1022.0,10,17.033333333333335,8.501851851851852,5.95,4.053333333333333,7.3,0.32946292734736055,0.2305738151964865,0.1570743749461779,0.282888882509975
GSW,201143,774.3333333333334,3,12.905555555555557,8.241666666666667,5.008333333333334,6.108333333333333,0.0,0.42574257425742573,0.25871717606543265,0.3155402496771416,0.0
GSW,1642366,773.5,2,12.891666666666667,7.658333333333333,10.466666666666667,0.0,0.0,0.4225287356321839,0.5774712643678162,0.0,0.0
GSW,1630541,720.0,1,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GSW,204001,581.25,8,9.6875,9.6875,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOU,201142,2723.9375,16,45.39895833333333,13.38125,12.477380952380951,12.851190476190476,13.140277777777778,0.2580756875072946,0.24064333807201393,0.24785276543148466,0.2534282089892069
