PLAYER_NAME,TEAM,STAT,LINE,IS_REGULAR_HINT,IS_GOBLIN,IS_DEMON,START_TIME_ET,BOARD_TIME_ET,UPDATED_AT_ET
Chet Holmgren,OKC,Rebounds,7.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:00.602000-04:00,2026-05-25T13:05:25.505000-04:00
Chet Holmgren,OKC,Rebounds - 1st 3 Minutes,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:36.478000-04:00,2026-05-25T22:46:54.629000-04:00
Chet Holmgren,OKC,Rebs+Asts,8.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:58:55.486000-04:00,2026-05-25T13:03:37.494000-04:00
Chet Holmgren,OKC,Steals,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T01:01:35.051000-04:00,2026-05-25T22:26:19.847000-04:00
Chet Holmgren,OKC,Turnovers,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T03:27:00.229000-04:00,2026-05-26T04:17:29.704000-04:00
Chet Holmgren,OKC,Two Pointers Attempted,6.5,True,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
Chet Holmgren,OKC,Two Pointers Made,3.5,True,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
De'Aaron Fox,SAS,3-PT Made,3.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T23:12:36.196000-04:00,2026-05-25T22:34:14.864000-04:00
De'Aaron Fox,SAS,Assists,5.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:01.987000-04:00,2026-05-25T07:11:00.496000-04:00
De'Aaron Fox,SAS,Assists - 1st 3 Minutes,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:37.033000-04:00,2026-05-25T22:52:13.635000-04:00
De'Aaron Fox,SAS,Blks+Stls,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T14:02:19.949000-04:00,2026-05-25T16:04:58.578000-04:00
De'Aaron Fox,SAS,Blocked Shots,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T07:43:10.618000-04:00,2026-05-25T07:59:57.603000-04:00
De'Aaron Fox,SAS,Defensive Rebounds,3.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-20T16:29:00-04:00,2026-05-25T16:35:41.241000-04:00
De'Aaron Fox,SAS,FG Attempted,12.5,True,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:54:00-04:00,2026-05-25T20:55:52.792000-04:00
De'Aaron Fox,SAS,FG Made,5.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-04T20:54:00-04:00,2026-05-25T20:55:01.608000-04:00
De'Aaron Fox,SAS,Fantasy Score,29.0,True,False,False,2026-05-26T20:40:00-04:00,2026-04-26T14:09:00-04:00,2026-05-25T23:03:54.370000-04:00
De'Aaron Fox,SAS,Free Throws Attempted,2.5,True,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:42:00-04:00,2026-05-25T20:43:42.303000-04:00
De'Aaron Fox,SAS,Free Throws Made,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:42:00-04:00,2026-05-26T03:45:15.212000-04:00
De'Aaron Fox,SAS,Offensive Rebounds,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-04T16:29:00-04:00,2026-05-25T17:36:49.423000-04:00
De'Aaron Fox,SAS,Personal Fouls,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-01T08:09:00-04:00,2026-05-25T22:06:37.796000-04:00
De'Aaron Fox,SAS,Points,14.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:02.784000-04:00,2026-05-25T17:23:30.784000-04:00
De'Aaron Fox,SAS,Points - 1st 3 Minutes,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:37.364000-04:00,2026-05-25T22:49:34.443000-04:00
De'Aaron Fox,SAS,Pts+Asts,19.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:03.215000-04:00,2026-05-24T23:11:40.547000-04:00
De'Aaron Fox,SAS,Pts+Rebs,18.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:03.667000-04:00,2026-05-25T18:18:51.279000-04:00
De'Aaron Fox,SAS,Pts+Rebs+Asts,23.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:04.174000-04:00,2026-05-25T12:32:40.748000-04:00
De'Aaron Fox,SAS,Rebounds,3.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:52:04.721000-04:00,2026-05-25T23:04:16.810000-04:00
