PLAYER,RAW_STAT,NORMALIZED_STAT
Christian Braun,Free Throws Made,FREE THROWS MADE
Christian Braun,Personal Fouls,PERSONAL FOULS
Christian Braun,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Christian Braun,Pts+Asts,PTS+ASTS
Christian Braun,Pts+Rebs,PTS+REBS
Christian Braun,Pts+Rebs+Asts,PTS+REBS+ASTS
Christian Braun,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Christian Braun,Rebs+Asts,REBS+ASTS
Christian Braun,Turnovers,TURNOVERS
Christian Braun,Two Pointers Made,TWO POINTERS MADE
De'Anthony Melton,3-PT Attempted,3PT ATTEMPTED
De'Anthony Melton,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
De'Anthony Melton,Blks+Stls,BLKS+STLS
De'Anthony Melton,Blocked Shots,BLOCKED SHOTS
De'Anthony Melton,Free Throws Made,FREE THROWS MADE
De'Anthony Melton,Personal Fouls,PERSONAL FOULS
De'Anthony Melton,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
De'Anthony Melton,Pts+Asts,PTS+ASTS
De'Anthony Melton,Pts+Rebs,PTS+REBS
De'Anthony Melton,Pts+Rebs+Asts,PTS+REBS+ASTS
De'Anthony Melton,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
De'Anthony Melton,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
De'Anthony Melton,Rebs+Asts,REBS+ASTS
Dejounte Murray,3-PT Attempted,3PT ATTEMPTED
Dejounte Murray,Blocked Shots,BLOCKED SHOTS
Dejounte Murray,Double-Double,DOUBLEDOUBLE
Dejounte Murray,FG Attempted,FG ATTEMPTED
Dejounte Murray,Free Throws Made,FREE THROWS MADE
Dejounte Murray,Personal Fouls,PERSONAL FOULS
Dejounte Murray,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Dejounte Murray,Pts+Asts,PTS+ASTS
Dejounte Murray,Pts+Rebs,PTS+REBS
Dejounte Murray,Pts+Rebs+Asts,PTS+REBS+ASTS
Dejounte Murray,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Dejounte Murray,Rebs+Asts,REBS+ASTS
Dejounte Murray,Turnovers,TURNOVERS
Dejounte Murray,Two Pointers Made,TWO POINTERS MADE
Derik Queen,Blks+Stls,BLKS+STLS
Derik Queen,Blocked Shots,BLOCKED SHOTS
Derik Queen,Double-Double,DOUBLEDOUBLE
Derik Queen,FG Made,FG MADE
Derik Queen,Free Throws Attempted,FREE THROWS ATTEMPTED
Derik Queen,Personal Fouls,PERSONAL FOULS
Derik Queen,Pts+Asts,PTS+ASTS
Derik Queen,Pts+Rebs,PTS+REBS
Derik Queen,Pts+Rebs+Asts,PTS+REBS+ASTS
Derik Queen,Rebs+Asts,REBS+ASTS
Derik Queen,Turnovers,TURNOVERS
Derik Queen,Two Pointers Made,TWO POINTERS MADE
Draymond Green,3-PT Attempted,3PT ATTEMPTED
Draymond Green,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Draymond Green,Blks+Stls,BLKS+STLS
Draymond Green,Blocked Shots,BLOCKED SHOTS
Draymond Green,Double-Double,DOUBLEDOUBLE
Draymond Green,FG Made,FG MADE
Draymond Green,Free Throws Made,FREE THROWS MADE
Draymond Green,Offensive Rebounds,OFFENSIVE REBOUNDS
Draymond Green,Personal Fouls,PERSONAL FOULS
Draymond Green,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Draymond Green,Pts+Asts,PTS+ASTS
Draymond Green,Pts+Rebs,PTS+REBS
Draymond Green,Pts+Rebs+Asts,PTS+REBS+ASTS
Draymond Green,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Draymond Green,Rebs+Asts,REBS+ASTS
Draymond Green,Turnovers,TURNOVERS
Draymond Green,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Draymond Green,Two Pointers Made,TWO POINTERS MADE
Gary Payton,3-PT Attempted,3PT ATTEMPTED
Gary Payton,Blks+Stls,BLKS+STLS
Gary Payton,Blocked Shots,BLOCKED SHOTS
Gary Payton,FG Attempted,FG ATTEMPTED
Gary Payton,FG Made,FG MADE
Gary Payton,Free Throws Attempted,FREE THROWS ATTEMPTED
Gary Payton,Free Throws Made,FREE THROWS MADE
Gary Payton,Personal Fouls,PERSONAL FOULS
Gary Payton,Pts+Asts,PTS+ASTS
Gary Payton,Pts+Rebs,PTS+REBS
Gary Payton,Pts+Rebs+Asts,PTS+REBS+ASTS
Gary Payton,Rebs+Asts,REBS+ASTS
Gary Payton,Turnovers,TURNOVERS
Gary Payton,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Gary Payton,Two Pointers Made,TWO POINTERS MADE
Gui Santos,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Gui Santos,Blks+Stls,BLKS+STLS
Gui Santos,Blocked Shots,BLOCKED SHOTS
Gui Santos,FG Attempted,FG ATTEMPTED
Gui Santos,FG Made,FG MADE
Gui Santos,Free Throws Attempted,FREE THROWS ATTEMPTED
Gui Santos,Free Throws Made,FREE THROWS MADE
Gui Santos,Personal Fouls,PERSONAL FOULS
Gui Santos,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Gui Santos,Pts+Asts,PTS+ASTS
Gui Santos,Pts+Rebs,PTS+REBS
Gui Santos,Pts+Rebs+Asts,PTS+REBS+ASTS
Gui Santos,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Gui Santos,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Gui Santos,Rebs+Asts,REBS+ASTS
Gui Santos,Turnovers,TURNOVERS
Gui Santos,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Gui Santos,Two Pointers Made,TWO POINTERS MADE
Herbert Jones,Blks+Stls,BLKS+STLS
Herbert Jones,Blocked Shots,BLOCKED SHOTS
Herbert Jones,Free Throws Made,FREE THROWS MADE
Herbert Jones,Personal Fouls,PERSONAL FOULS
Herbert Jones,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Herbert Jones,Pts+Asts,PTS+ASTS
Herbert Jones,Pts+Rebs,PTS+REBS
Herbert Jones,Pts+Rebs+Asts,PTS+REBS+ASTS
Herbert Jones,Rebs+Asts,REBS+ASTS
Herbert Jones,Turnovers,TURNOVERS
