DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL
2026-03-29,Reed Sheppard,HOU,,FG3M,3-PT Made,UNDER FG3M,4.5,2.8,-1.7,1.7,HIGH,0.84,High,,
2026-03-29,Brandin Podziemski,GSW,,FG3M,3-PT Made,UNDER FG3M,3.5,1.9,-1.6,1.6,HIGH,0.84,High,,
2026-03-29,Jabari Smith,HOU,,FG3M,3-PT Made,UNDER FG3M,3.5,2.2,-1.3,1.3,HIGH,0.84,High,,
2026-03-29,Chet Holmgren,OKC,,FG3M,3-PT Made,UNDER FG3M,2.5,1.3,-1.2,1.2,MEDIUM,0.72,Medium,,
2026-03-29,Alex Caruso,OKC,,FG3M,3-PT Made,UNDER FG3M,1.5,0.4,-1.1,1.1,LOW,0.56,Low,,
2026-03-29,Tari Eason,HOU,,FG3M,3-PT Made,UNDER FG3M,1.5,0.4,-1.1,1.1,LOW,0.56,Low,,
2026-03-29,Jalen Williams,OKC,,FG3M,3-PT Made,UNDER FG3M,1.5,0.5,-1.0,1.0,MEDIUM,0.72,Medium,,
2026-03-29,Luguentz Dort,OKC,,FG3M,3-PT Made,UNDER FG3M,2.5,1.5,-1.0,1.0,LOW,0.56,Low,,
2026-03-29,Gary Payton,GSW,,FG3M,3-PT Made,UNDER FG3M,1.5,0.6,-0.9,0.9,MEDIUM,0.72,Medium,,
2026-03-29,Draymond Green,GSW,,FG3M,3-PT Made,UNDER FG3M,2.5,1.7,-0.8,0.8,HIGH,0.84,High,,
2026-03-29,Jalen Brunson,NYK,,FG3M,3-PT Made,UNDER FG3M,2.5,1.7,-0.8,0.8,HIGH,0.84,High,,
2026-03-29,Kevin Durant,HOU,,FG3M,3-PT Made,UNDER FG3M,3.5,2.7,-0.8,0.8,HIGH,0.84,High,,
2026-03-29,Kristaps Porziņģis,GSW,,FG3M,3-PT Made,UNDER FG3M,2.5,1.7,-0.8,0.8,MEDIUM,0.72,Medium,,
2026-03-29,Ajay Mitchell,OKC,,FG3M,3-PT Made,UNDER FG3M,1.5,0.9,-0.6,0.6,MEDIUM,0.72,Medium,,
2026-03-29,Cason Wallace,OKC,,FG3M,3-PT Made,UNDER FG3M,1.5,0.9,-0.6,0.6,MEDIUM,0.72,Medium,,
2026-03-29,Gui Santos,GSW,,FG3M,3-PT Made,UNDER FG3M,2.5,2.0,-0.5,0.5,HIGH,0.84,High,,
2026-03-29,Tim Hardaway,DEN,,FG3M,3-PT Made,UNDER FG3M,3.5,3.0,-0.5,0.5,MEDIUM,0.72,Medium,,
