feature,tree_perm_importance_mae,tree_perm_std,ridge_abs_coef,rank
player_blocks_std_10,0.002834784853345873,0.0013214921181581266,0.24981961834966715,38
points_rolling_std_3,0.002832085756166869,0.006236658413295618,0.13366508487181777,39
steals_ewm,0.002597349851038011,0.004680565087998058,0.5915535762932003,40
threes_made_rolling_mean_10,0.0024141028851852654,0.001232569343193392,1.1293641405742436,41
rate_points_last_10,0.002412576211022177,0.006496920957017019,1.8333705858110156,42
blocks_rolling_std_5,0.002023336093308181,0.003369203390335697,0.022732234273768612,43
steals_rolling_mean_5,0.0018916785321236417,0.0007724844668928336,0.8923182405362248,44
player_points_std_10,0.0016576937732029507,0.0030980359318853994,0.009562369751200974,45
season_avg_steals,0.0016039198080749274,0.005210738639734516,0.32667646054593547,46
rate_assists_last_10,0.0015783309384110212,0.0017214108391820741,0.43503695537586046,47
opponent,0.0013276724944056185,0.0034813508256051986,,48
blocks_rolling_mean_10,0.0013075124575038898,0.0013408067714269889,0.20349965412850657,49
assists_rolling_mean_3,0.0003902148169617092,0.0011874114889295338,0.8231981669422584,50
season_avg_rebounds,0.00029368996293541725,0.002311516795984424,1.4483115718901365,51
assists_rolling_mean_5,0.00020677566911100342,0.0027638883363015963,0.33557766647313914,52
threes_made_rolling_mean_3,9.576561738100509e-05,0.0,0.5705054245480596,53
is_home,5.3698467464613486e-05,0.0003701303940896304,0.05353615906259761,54
is_back_to_back,0.0,0.0,0.1472441242306232,55
opp_points_allowed_last_10,0.0,0.0,0.018128554799689604,56
pace_last_10,0.0,0.0,0.05803042473361938,57
def_rating_last_10,0.0,0.0,0.2477249107701958,58
off_rating_last_10,0.0,0.0,0.2390007198746928,59
blocks_rolling_mean_5,-7.9920745387696e-05,0.0013505881413665005,0.007711563809327786,60
blocks_rolling_std_10,-0.00011592705493015387,0.0007227094863507344,0.10607490141833506,61
usage_proxy_last_5,-0.0001236173366899962,0.014567200726510852,0.600652905620092,62
blocks_rolling_mean_3,-0.0001351718796835044,0.0015407601242432543,0.43051865893721175,63
steals_rolling_mean_3,-0.00029838949724148023,0.0006940558339017155,0.25126643875618104,64
rebounds_rolling_std_10,-0.0003448593112521436,0.0016718590333324214,0.017382108759123327,65
steals_rolling_std_5,-0.0005056433116921611,0.004642161280062334,0.3489142218692913,66
threes_made_rolling_mean_5,-0.0007283127185642613,0.0006831108577297486,1.2265945690971187,67
steals_rolling_std_10,-0.0009468083319209341,0.0006200709634070108,0.17788875373291357,68
rate_blocks_last_10,-0.0013013699276436697,0.0011722766966441394,0.09608579103307784,69
threes_made_rolling_std_3,-0.001944840354365418,0.002210422227179122,0.11493593960801245,70
rebounds_rolling_std_3,-0.0021372464728969475,0.0021411662747293308,0.1374714336635039,71
opponent_steals_allowed_last_10,-0.0021483633957975813,0.0039681297429376575,0.20291882804342817,72
assists_rolling_std_3,-0.002168855653675017,0.004288663737679304,0.1590988409712266,73
season_avg_points,-0.0023670138681172403,0.0032075698644656583,0.45170976918168537,74
season_avg_blocks,-0.0024313375279366055,0.005769041664752043,0.025514861876408154,75
steals_rolling_mean_10,-0.002886051708704862,0.007300002512195276,1.2457135165401125,76
opponent_threes_made_allowed_last_10,-0.003225127517324822,0.001608470148157024,0.13302952676178056,77
points_rolling_std_10,-0.00382503185795553,0.0016816877576544275,0.27485533754490027,78
usage_proxy_last_10,-0.004122505855264258,0.009698876921971413,2.4823909406080173,79
rebounds_rolling_std_5,-0.004615564842849374,0.004438199598689742,0.1476617252719779,80
player_minutes_std_10,-0.005576909619789206,0.004587627148819856,0.14379462681425573,81
steals_rolling_std_3,-0.006370548143135224,0.004699161836212918,0.09410366169709874,82
team_points_last_10,-0.008287848127759645,0.004134371526001239,0.06615299209225403,83
