PLAYER,TEAM,MATCHUP,CONFIDENCE,MIN,PTS,REB,AST,STL,BLK,3PM,TOV,PRA,PR,PA,RA,SB,FANTASY
Alex Caruso,OKC,OKC @ PHX,Medium,18.7,5.9,3.1,2.0,0.6,0.2,0.9,0.9,11.0,9.0,7.9,5.2,0.8,14.7
Jordan Clarkson,NYK,NYK @ ATL,Medium,17.8,6.6,2.8,1.9,0.7,0.1,0.2,0.7,11.3,9.4,8.5,4.6,0.8,14.5
Ariel Hukporti,NYK,NYK @ ATL,Medium,13.4,5.4,4.3,1.1,0.4,0.6,0.2,0.7,10.8,9.7,6.4,5.4,1.0,14.5
Koby Brea,PHX,PHX vs. OKC,Medium,14.2,8.1,1.9,1.4,0.5,0.1,1.7,0.6,11.4,10.0,9.6,3.3,0.5,14.4
Zyon Pullin,MIN,MIN vs. DEN,Low,17.2,7.4,1.5,2.4,0.3,0.1,0.6,0.7,11.3,8.9,9.8,3.9,0.5,13.8
Corey Kispert,ATL,ATL vs. NYK,Medium,13.8,8.1,1.8,1.2,0.3,0.2,1.4,0.7,11.1,9.9,9.3,3.0,0.5,13.6
Marcus Sasser,DET,DET @ ORL,Medium,13.6,6.6,1.8,2.2,0.3,0.3,1.1,0.8,10.6,8.4,8.8,4.0,0.6,13.5
RayJ Dennis,ATL,ATL vs. NYK,Medium,16.3,5.9,2.4,2.4,0.4,0.1,0.8,0.9,10.7,8.3,8.2,4.8,0.5,13.4
Amir Coffey,PHX,PHX vs. OKC,Medium,16.0,6.8,2.4,1.2,0.4,0.2,0.9,0.6,10.5,9.3,8.1,3.7,0.6,13.2
Jevon Carter,ORL,ORL vs. DET,High,17.6,5.8,2.0,1.6,0.8,0.1,0.9,0.7,9.4,7.8,7.4,3.6,1.0,13.2
Christian Koloko,ATL,ATL vs. NYK,Medium,13.5,4.2,4.2,1.2,0.4,0.6,0.2,0.7,9.6,8.4,5.4,5.4,1.0,13.2
Tony Bradley,ATL,ATL vs. NYK,Medium,14.5,4.5,4.4,1.0,0.3,0.3,0.4,0.4,9.9,8.9,5.6,5.4,0.6,13.0
Mouhamed Gueye,ATL,ATL vs. NYK,Medium,15.0,3.7,3.4,1.2,0.6,0.5,0.5,0.2,8.4,7.2,4.9,4.7,1.1,13.0
Julian Phillips,MIN,MIN vs. DEN,Medium,17.2,7.6,1.6,1.0,0.5,0.1,0.8,0.4,10.2,9.2,8.6,2.6,0.6,12.8
Gabe Vincent,ATL,ATL vs. NYK,Medium,16.9,5.5,1.8,1.9,0.6,0.2,1.1,0.9,9.3,7.3,7.4,3.8,0.8,12.5
Mohamed Diawara,NYK,NYK @ ATL,Medium,14.5,5.3,1.9,2.0,0.6,0.1,0.6,0.5,9.3,7.3,7.3,3.9,0.6,12.4
Keaton Wallace,ATL,ATL vs. NYK,Medium,14.5,5.0,1.8,2.0,0.6,0.1,0.8,0.6,8.8,6.8,7.0,3.8,0.7,12.0
Tolu Smith,DET,DET @ ORL,Medium,11.0,4.7,3.6,1.3,0.2,0.2,0.1,0.4,9.6,8.4,6.0,4.9,0.4,11.7
Zeke Nnaji,DEN,DEN @ MIN,Medium,11.8,4.2,2.8,1.2,0.2,0.5,0.5,0.5,8.2,7.0,5.4,4.1,0.7,11.3
Tyus Jones,DEN,DEN @ MIN,Medium,13.0,4.4,2.0,2.1,0.2,0.1,0.8,0.6,8.6,6.4,6.5,4.2,0.3,10.8
Pacôme Dadiet,NYK,NYK @ ATL,Medium,12.4,5.5,2.1,1.0,0.2,0.1,0.7,0.3,8.6,7.6,6.4,3.1,0.3,10.4
